"filename", "language", "Python", "Markdown", "LaTeX", "JSON with Comments", "comment", "blank", "total"
"/Users/gregbarnes/Documents/GitHub/Ordo/Ordo.code-workspace", "JSON with Comments", 0, 0, 0, 8, 0, 0, 8
"/Users/gregbarnes/Documents/GitHub/Ordo/README.md", "Markdown", 0, 391, 0, 0, 0, 18, 409
"/Users/gregbarnes/Documents/GitHub/Ordo/app.py", "Python", 17, 0, 0, 0, 15, 11, 43
"/Users/gregbarnes/Documents/GitHub/Ordo/calen/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/gregbarnes/Documents/GitHub/Ordo/calen/calendar_2021.py", "Python", 338, 0, 0, 0, 0, 0, 338
"/Users/gregbarnes/Documents/GitHub/Ordo/calen/calendar_2022.py", "Python", 360, 0, 0, 0, 0, 0, 360
"/Users/gregbarnes/Documents/GitHub/Ordo/calen/calendar_2024.py", "Python", 186, 0, 0, 0, 0, 0, 186
"/Users/gregbarnes/Documents/GitHub/Ordo/ordo_tools/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/gregbarnes/Documents/GitHub/Ordo/ordo_tools/feast.py", "Python", 282, 0, 0, 0, 27, 21, 330
"/Users/gregbarnes/Documents/GitHub/Ordo/ordo_tools/liturgical_dates.py", "Python", 121, 0, 0, 0, 3, 17, 141
"/Users/gregbarnes/Documents/GitHub/Ordo/ordo_tools/logger.py", "Python", 14, 0, 0, 0, 6, 8, 28
"/Users/gregbarnes/Documents/GitHub/Ordo/ordo_tools/outputs.py", "Python", 193, 0, 0, 0, 58, 7, 258
"/Users/gregbarnes/Documents/GitHub/Ordo/ordo_tools/settings.py", "Python", 1, 0, 0, 0, 0, 0, 1
"/Users/gregbarnes/Documents/GitHub/Ordo/ordo_tools/temporal_cycle.py", "Python", 1769, 0, 0, 0, 21, 4, 1794
"/Users/gregbarnes/Documents/GitHub/Ordo/ordo_tools/utils.py", "Python", 404, 0, 0, 0, 90, 84, 578
"/Users/gregbarnes/Documents/GitHub/Ordo/output/latex/ordo_2022.tex", "LaTeX", 0, 0, 5782, 0, 3, 372, 6157
"/Users/gregbarnes/Documents/GitHub/Ordo/output/latex_calendar/calendar.sty", "LaTeX", 0, 0, 95, 0, 0, 12, 107
"/Users/gregbarnes/Documents/GitHub/Ordo/output/latex_calendar/calendar_2022.tex", "LaTeX", 0, 0, 502, 0, 13, 436, 951
"/Users/gregbarnes/Documents/GitHub/Ordo/output/latex_calendar/calendar_letter.sty", "LaTeX", 0, 0, 95, 0, 1, 12, 108
"/Users/gregbarnes/Documents/GitHub/Ordo/rubrics/litany.md", "Markdown", 0, 80, 0, 0, 0, 23, 103
"/Users/gregbarnes/Documents/GitHub/Ordo/rubrics/occurence.md", "Markdown", 0, 35, 0, 0, 0, 12, 47
"/Users/gregbarnes/Documents/GitHub/Ordo/rubrics/ranking-2.md", "Markdown", 0, 34, 0, 0, 0, 3, 37
"/Users/gregbarnes/Documents/GitHub/Ordo/rubrics/ranking.md", "Markdown", 0, 68, 0, 0, 0, 15, 83
"/Users/gregbarnes/Documents/GitHub/Ordo/rubrics/table_of_feasts.md", "Markdown", 0, 217, 0, 0, 0, 69, 286
"/Users/gregbarnes/Documents/GitHub/Ordo/sanctoral/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/gregbarnes/Documents/GitHub/Ordo/sanctoral/country/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/gregbarnes/Documents/GitHub/Ordo/sanctoral/country/nameofcountry.py", "Python", 33, 0, 0, 0, 9, 3, 45
"/Users/gregbarnes/Documents/GitHub/Ordo/sanctoral/diocese/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/gregbarnes/Documents/GitHub/Ordo/sanctoral/diocese/nameofdiocese.py", "Python", 33, 0, 0, 0, 9, 3, 45
"/Users/gregbarnes/Documents/GitHub/Ordo/sanctoral/diocese/roman.py", "Python", 3844, 0, 0, 0, 11, 4, 3859
"/Users/gregbarnes/Documents/GitHub/Ordo/sanctoral/eldracher_calend/AUSTRALIAE.py", "Python", 33, 0, 0, 0, 15, 3, 51
"/Users/gregbarnes/Documents/GitHub/Ordo/sanctoral/eldracher_calend/Bathurstensis.py", "Python", 33, 0, 0, 0, 15, 2, 50
"/Users/gregbarnes/Documents/GitHub/Ordo/sanctoral/eldracher_calend/Lismorensis.py", "Python", 65, 0, 0, 0, 19, 5, 89
"/Users/gregbarnes/Documents/GitHub/Ordo/sanctoral/eldracher_calend/Maitlandensis.py", "Python", 33, 0, 0, 0, 15, 3, 51
"/Users/gregbarnes/Documents/GitHub/Ordo/sanctoral/eldracher_calend/Melbournensis.py", "Python", 33, 0, 0, 0, 15, 3, 51
"/Users/gregbarnes/Documents/GitHub/Ordo/sanctoral/eldracher_calend/Rockhamptonensis.py", "Python", 33, 0, 0, 0, 15, 3, 51
"/Users/gregbarnes/Documents/GitHub/Ordo/temporal/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/gregbarnes/Documents/GitHub/Ordo/temporal/temporal_2021.py", "Python", 165, 0, 0, 0, 0, 0, 165
"/Users/gregbarnes/Documents/GitHub/Ordo/temporal/temporal_2022.py", "Python", 322, 0, 0, 0, 0, 0, 322
"/Users/gregbarnes/Documents/GitHub/Ordo/temporal/temporal_2024.py", "Python", 150, 0, 0, 0, 0, 0, 150
"Total", "-", 8462, 825, 6474, 8, 360, 1159, 17288